name,address,phone,website,rating,ratingNumber,copyright_year
Miledy Caffe',"Via Fracasso, 7, 30036 Stigliano VE, Italy",+39 041 578 1033,NONE,4.3,133,undefined
Bar Leone - caffè dal 1948 -,"Via Cialdini, 53, 75018 Stigliano MT, Italy",NONE,NONE,4.5,99,undefined
Tony E Tina Di Fanelli A. & C. Snc,"Corso Umberto I, 40, 75018 Stigliano MT, Italy",+39 0835 561230,NONE,4.3,17,undefined
Bar Cokito caffè di Mele Nicola,"Via Cialdini, 47, 75018 Stigliano MT, Italy",NONE,NONE,4.7,20,undefined
American bar Di SARUBBI ROSANNA,"Piazza Garibaldi, 8/9, 75018 Stigliano MT, Italy",NONE,NONE,4.6,8,undefined
La Merla Osteria Boutique,"Via Torri, 89, 53018 Stigliano SI, Italy",+39 0577 169 8075,merladellemacine.com,4.9,41,2023
Sarubbi,"Corso Umberto, 12, 75018 Stigliano MT, Italy",+39 0835 561339,www.barsarubbi.com,4.4,72,null
Bar Di Berardi Luciana,"Via Fontana, 1, 75018 Stigliano MT, Italy",+39 0835 566078,NONE,4.0,1,undefined
Le Logge ristorante pizzeria,"Via dell'Arco, 4, 53018 Sovicille SI, Italy",NONE,NONE,5.0,2,undefined
Al Solito Posto,"Corso Umberto I, 16, 75018 Stigliano MT, Italy",+39 0835 405738,www.alsolitopostostigliano.com,4.5,110,2023
Trase Ca t'Ammudd,"Via Cialdini, 57, 75018 Stigliano MT, Italy",+39 346 715 5084,www.trasecatammudd.it,4.6,241,null
Hotel Ristorante Mariano,"Via principe di Napoli, 65, 75018 Stigliano MT, Italy",+39 0835 561196,www.hotelristorantemariano.it,4.6,473,835
Bar Road House,"75018 Stigliano Province of Matera, Italy",+39 349 363 5255,NONE,4.4,22,undefined
La Bottega di Stigliano,"Località Stigliano, 62, 53018 Stigliano SI, Italy",+39 0577 345624,www.valdimersegreen.com,4.4,551,null
